27-Mar-23 19:55:44 - Electricity_init_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 87.66%]
27-Mar-23 19:55:44 - Electricity_init_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.05%]
27-Mar-23 19:55:45 - Electricity_random_delay_lfs_0.1_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 82.58%]
27-Mar-23 19:55:45 - Electricity_random_delay_lfs_0.1_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 72.58%]
27-Mar-23 19:55:45 - Electricity_delay_0_1000 with HT results [Accuracy: 83.64%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 85.22%, Accuracy: 100.00%, Accuracy: 84.75%, Accuracy: 84.75%]
27-Mar-23 19:55:45 - Electricity_delay_0_1000 with Dummy results [Accuracy: 65.15%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 68.83%, Accuracy: 100.00%, Accuracy: 73.43%, Accuracy: 73.43%]
27-Mar-23 19:55:46 - Electricity_init_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.73%]
27-Mar-23 19:55:47 - Electricity_random_delay_lfs_0.1_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 61.98%]
27-Mar-23 19:55:47 - Electricity_random_delay_ssl_0.1_0_1000 with HT results [Accuracy: 64.31%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 65.57%, Accuracy: 100.00%, Accuracy: 66.78%, Accuracy: 66.78%]
27-Mar-23 19:55:47 - Electricity_random_delay_lfs_0.2_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 85.46%]
27-Mar-23 19:55:47 - Electricity_random_delay_lfs_0.2_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 72.43%]
27-Mar-23 19:55:47 - Electricity_random_delay_ssl_0.1_0_1000 with Dummy results [Accuracy: 65.43%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 68.53%, Accuracy: 100.00%, Accuracy: 72.50%, Accuracy: 72.50%]
27-Mar-23 19:55:48 - Electricity_delay_0_1000 with CluStreamAndLabel results [Accuracy: 53.13%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 54.11%, Accuracy: 100.00%, Accuracy: 56.16%, Accuracy: 56.16%]
27-Mar-23 19:55:48 - Electricity_random_delay_lfs_0.5_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.34%]
27-Mar-23 19:55:48 - Electricity_random_delay_lfs_0.5_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 72.05%]
27-Mar-23 19:55:49 - Electricity_random_delay_lfs_0.5_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.37%]
27-Mar-23 19:55:49 - Electricity_random_delay_lfs_0.2_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.60%]
27-Mar-23 19:55:49 - Electricity_random_delay_ssl_0.2_0_1000 with HT results [Accuracy: 77.35%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 78.79%, Accuracy: 0.00%, Accuracy: 79.47%, Accuracy: 79.47%]
27-Mar-23 19:55:49 - Electricity_random_delay_ssl_0.2_0_1000 with Dummy results [Accuracy: 64.58%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 70.55%, Accuracy: 0.00%, Accuracy: 72.34%, Accuracy: 72.34%]
27-Mar-23 19:55:52 - Electricity_random_delay_ssl_0.5_0_1000 with HT results [Accuracy: 82.02%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 83.84%, Accuracy: 0.00%, Accuracy: 82.44%, Accuracy: 82.44%]
27-Mar-23 19:55:52 - Electricity_random_delay_ssl_0.5_0_1000 with Dummy results [Accuracy: 65.08%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 66.07%, Accuracy: 0.00%, Accuracy: 72.11%, Accuracy: 72.11%]
27-Mar-23 19:55:53 - Electricity_random_delay_ssl_0.1_0_1000 with CluStreamAndLabel results [Accuracy: 52.86%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 57.88%, Accuracy: 100.00%, Accuracy: 57.24%, Accuracy: 57.24%]
27-Mar-23 19:55:56 - Electricity_random_delay_ssl_0.2_0_1000 with CluStreamAndLabel results [Accuracy: 52.19%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 53.63%, Accuracy: 0.00%, Accuracy: 56.20%, Accuracy: 56.20%]
27-Mar-23 19:55:57 - Electricity_random_delay_ssl_0.5_0_1000 with CluStreamAndLabel results [Accuracy: 47.93%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 43.22%, Accuracy: 0.00%, Accuracy: 51.65%, Accuracy: 51.65%]
27-Mar-23 20:16:22 - Electricity_random_delay_lfs_0.1_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 84.33%]
27-Mar-23 20:16:22 - Electricity_random_delay_lfs_0.1_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 73.18%]
27-Mar-23 20:16:23 - Electricity_init_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.15%]
27-Mar-23 20:16:23 - Electricity_init_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.05%]
27-Mar-23 20:16:24 - Electricity_random_delay_lfs_0.1_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.55%]
27-Mar-23 20:16:24 - Electricity_init_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.73%]
27-Mar-23 20:16:24 - Electricity_random_delay_lfs_0.2_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 87.58%]
27-Mar-23 20:16:24 - Electricity_random_delay_lfs_0.2_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 74.40%]
27-Mar-23 20:16:25 - Electricity_delay_0_1000 with HT results [Accuracy: 79.70%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 79.73%, Accuracy: 0.00%, Accuracy: 81.41%, Accuracy: 81.41%]
27-Mar-23 20:16:25 - Electricity_delay_0_1000 with Dummy results [Accuracy: 62.02%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 69.20%, Accuracy: 0.00%, Accuracy: 73.23%, Accuracy: 73.23%]
27-Mar-23 20:16:26 - Electricity_random_delay_lfs_0.2_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.80%]
27-Mar-23 20:16:26 - Electricity_random_delay_ssl_0.2_0_1000 with HT results [Accuracy: 75.56%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 76.79%, Accuracy: 100.00%, Accuracy: 77.94%, Accuracy: 77.94%]
27-Mar-23 20:16:26 - Electricity_random_delay_ssl_0.2_0_1000 with Dummy results [Accuracy: 63.41%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 65.96%, Accuracy: 0.00%, Accuracy: 74.31%, Accuracy: 74.31%]
27-Mar-23 20:16:26 - Electricity_random_delay_lfs_0.5_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 82.41%]
27-Mar-23 20:16:26 - Electricity_random_delay_lfs_0.5_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 71.78%]
27-Mar-23 20:16:27 - Electricity_random_delay_ssl_0.5_0_1000 with HT results [Accuracy: 50.82%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 43.69%, Accuracy: 0.00%, Accuracy: 50.82%, Accuracy: 50.82%]
27-Mar-23 20:16:27 - Electricity_random_delay_lfs_0.5_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 62.91%]
27-Mar-23 20:16:27 - Electricity_random_delay_ssl_0.5_0_1000 with Dummy results [Accuracy: 60.41%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 68.93%, Accuracy: 0.00%, Accuracy: 71.63%, Accuracy: 71.63%]
27-Mar-23 20:16:28 - Electricity_delay_0_1000 with CluStreamAndLabel results [Accuracy: 52.83%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 56.25%, Accuracy: 0.00%, Accuracy: 54.95%, Accuracy: 54.95%]
27-Mar-23 20:16:29 - Electricity_random_delay_ssl_0.1_0_1000 with HT results [Accuracy: 70.23%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 68.04%, Accuracy: 100.00%, Accuracy: 72.22%, Accuracy: 72.22%]
27-Mar-23 20:16:29 - Electricity_random_delay_ssl_0.1_0_1000 with Dummy results [Accuracy: 59.87%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 65.56%, Accuracy: 100.00%, Accuracy: 73.21%, Accuracy: 73.21%]
27-Mar-23 20:16:31 - Electricity_random_delay_ssl_0.2_0_1000 with CluStreamAndLabel results [Accuracy: 51.25%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 49.47%, Accuracy: 0.00%, Accuracy: 54.39%, Accuracy: 54.39%]
27-Mar-23 20:16:31 - Electricity_random_delay_ssl_0.1_0_1000 with CluStreamAndLabel results [Accuracy: 52.15%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 50.81%, Accuracy: 0.00%, Accuracy: 54.58%, Accuracy: 54.58%]
27-Mar-23 20:16:32 - Electricity_random_delay_ssl_0.5_0_1000 with CluStreamAndLabel results [Accuracy: 50.61%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 56.31%, Accuracy: 0.00%, Accuracy: 52.45%, Accuracy: 52.45%]
