27-Mar-23 20:28:37 - Electricity_random_delay_lfs_0.1_0_1000-HT-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.87%]
27-Mar-23 20:28:37 - Electricity_random_delay_lfs_0.1_0_1000-Dummy-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 73.08%]
27-Mar-23 20:28:37 - Electricity_init_0_1000-HT-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.86%]
27-Mar-23 20:28:37 - Electricity_init_0_1000-Dummy-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.05%]
27-Mar-23 20:28:39 - Electricity_delay_0_1000-HT-[Accuracy: 83.23%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 85.45%, Accuracy: 100.00%, Accuracy: 85.15%, Accuracy: 85.15%]
27-Mar-23 20:28:39 - Electricity_delay_0_1000-Dummy-[Accuracy: 64.65%, Accuracy: 0.00%, Accuracy: 71.43%, Accuracy: 65.60%, Accuracy: 100.00%, Accuracy: 72.42%, Accuracy: 72.42%]
27-Mar-23 20:28:39 - Electricity_init_0_1000-CluStreamAndLabel-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.73%]
27-Mar-23 20:28:39 - Electricity_random_delay_ssl_0.2_0_1000-HT-[Accuracy: 79.97%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 82.35%, Accuracy: 0.00%, Accuracy: 83.40%, Accuracy: 83.40%]
27-Mar-23 20:28:39 - Electricity_random_delay_lfs_0.1_0_1000-CluStreamAndLabel-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 59.35%]
27-Mar-23 20:28:39 - Electricity_random_delay_ssl_0.2_0_1000-Dummy-[Accuracy: 64.64%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 69.96%, Accuracy: 100.00%, Accuracy: 70.72%, Accuracy: 70.72%]
27-Mar-23 20:28:40 - Electricity_random_delay_lfs_0.2_0_1000-HT-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 89.34%]
27-Mar-23 20:28:40 - Electricity_random_delay_lfs_0.2_0_1000-Dummy-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 70.81%]
27-Mar-23 20:28:41 - Electricity_random_delay_ssl_0.1_0_1000-HT-[Accuracy: 70.44%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 71.24%, Accuracy: 100.00%, Accuracy: 72.78%, Accuracy: 72.78%]
27-Mar-23 20:28:41 - Electricity_random_delay_lfs_0.2_0_1000-CluStreamAndLabel-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 61.63%]
27-Mar-23 20:28:41 - Electricity_random_delay_ssl_0.1_0_1000-Dummy-[Accuracy: 65.67%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 68.17%, Accuracy: 100.00%, Accuracy: 73.00%, Accuracy: 73.00%]
27-Mar-23 20:28:41 - Electricity_random_delay_lfs_0.5_0_1000-HT-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.27%]
27-Mar-23 20:28:41 - Electricity_random_delay_lfs_0.5_0_1000-Dummy-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 73.31%]
27-Mar-23 20:28:42 - Electricity_random_delay_lfs_0.5_0_1000-CluStreamAndLabel-[Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 61.82%]
27-Mar-23 20:28:43 - Electricity_delay_0_1000-CluStreamAndLabel-[Accuracy: 51.82%, Accuracy: 0.00%, Accuracy: 57.14%, Accuracy: 55.13%, Accuracy: 71.43%, Accuracy: 55.45%, Accuracy: 55.45%]
27-Mar-23 20:28:46 - Electricity_random_delay_ssl_0.1_0_1000-CluStreamAndLabel-[Accuracy: 52.22%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 51.17%, Accuracy: 0.00%, Accuracy: 54.11%, Accuracy: 54.11%]
27-Mar-23 20:28:46 - Electricity_random_delay_ssl_0.2_0_1000-CluStreamAndLabel-[Accuracy: 51.33%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 53.63%, Accuracy: 100.00%, Accuracy: 53.49%, Accuracy: 53.49%]
27-Mar-23 20:28:46 - Electricity_random_delay_ssl_0.5_0_1000-HT-[Accuracy: 55.41%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 57.89%, Accuracy: 0.00%, Accuracy: 55.79%, Accuracy: 55.79%]
27-Mar-23 20:28:46 - Electricity_random_delay_ssl_0.5_0_1000-Dummy-[Accuracy: 61.97%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 62.04%, Accuracy: 0.00%, Accuracy: 73.17%, Accuracy: 73.17%]
27-Mar-23 20:28:49 - Electricity_random_delay_ssl_0.5_0_1000-CluStreamAndLabel-[Accuracy: 51.35%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 58.65%, Accuracy: 0.00%, Accuracy: 52.12%, Accuracy: 52.12%]
