27-Mar-23 19:54:20 - Electricity_random_delay_lfs_0.1_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 85.94%]
27-Mar-23 19:54:20 - Electricity_random_delay_lfs_0.1_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 71.32%]
27-Mar-23 19:54:21 - Electricity_init_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 85.84%]
27-Mar-23 19:54:21 - Electricity_init_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 86.05%]
27-Mar-23 19:54:22 - Electricity_random_delay_lfs_0.1_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.61%]
27-Mar-23 19:54:22 - Electricity_delay_0_1000 with HT results [Accuracy: 82.02%, Accuracy: 0.00%, Accuracy: 66.67%, Accuracy: 83.23%, Accuracy: 66.67%, Accuracy: 83.54%, Accuracy: 83.54%]
27-Mar-23 19:54:22 - Electricity_delay_0_1000 with Dummy results [Accuracy: 62.73%, Accuracy: 0.00%, Accuracy: 33.33%, Accuracy: 66.11%, Accuracy: 66.67%, Accuracy: 71.41%, Accuracy: 71.41%]
27-Mar-23 19:54:22 - Electricity_init_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 60.73%]
27-Mar-23 19:54:23 - Electricity_random_delay_lfs_0.2_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 82.21%]
27-Mar-23 19:54:23 - Electricity_random_delay_lfs_0.2_0_1000 with Dummy results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 71.30%]
27-Mar-23 19:54:23 - Electricity_random_delay_ssl_0.2_0_1000 with HT results [Accuracy: 72.72%, Accuracy: 0.00%, Accuracy: 100.00%, Accuracy: 74.75%, Accuracy: 100.00%, Accuracy: 74.09%, Accuracy: 74.09%]
27-Mar-23 19:54:23 - Electricity_random_delay_ssl_0.2_0_1000 with Dummy results [Accuracy: 60.08%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 69.48%, Accuracy: 0.00%, Accuracy: 71.34%, Accuracy: 71.34%]
27-Mar-23 19:54:23 - Electricity_random_delay_lfs_0.2_0_1000 with CluStreamAndLabel results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 58.72%]
27-Mar-23 19:54:24 - Electricity_random_delay_lfs_0.5_0_1000 with HT results [Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 0.00%, Accuracy: 84.26%]
