stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
AGRAWAL_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",08-Jul-23 13:32:32,init,,<class 'river.dummy.PriorClassifier'>,0.7,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AGRAWAL_0_20000_constant_delay,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",08-Jul-23 13:32:50,delay,,<class 'river.dummy.PriorClassifier'>,0.7,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AGRAWAL_0_20000_constant_delay_ssl_0.1_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",08-Jul-23 13:33:36,ssl,0.1,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.0003027405943951,0.0019613388603391,-0.0002124994310033,0.0008097374507187,0.003497485646274,-0.0012999334187471,0.0019357863232673,0.0004557611389032,-4.943226867965258e-05,-0.0006351134499222,0.0007240614114444,0.0001629403977239,7.569005683318076e-05,-0.0008644834417532,0.0022333531248106,-0.0030420651697179,0.004253389586472,-0.0020072658086207,-0.0021244541831374,0.0006994841304537,-0.0013021186059412,-0.0010175593436387,0.0015519271731225,-0.0002658839734884,0.0031879027376739,0.0002892582315853,0.0013514677999323,0.0012882257872938,0.0008861350991917,-0.0001006013911451,-0.0023349199449838,0.00162240627726,0.0005933814860474,-0.0008529002371157,-0.0009142999125156,0.002210465743935,-0.0021551809323386,0.0016121950192321,0.0016597663002971,-0.0013487477831698,0.0011304478256258,0.0015145175725387,0.0025482227523912,0.0005773812516521,0.0020285555352752,-0.0008802973910767,0.0013935272019342,0.0012125953731137,0.0010690595658499,0.0013265178359764,0.0023517616672641,-0.0021665320992105,0.0,0.0,0.0,0.0,-0.3208556149732619,-0.1482675261885577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0601387818041633,-0.1709120788824979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.2_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",08-Jul-23 13:33:59,ssl,0.2,<class 'river.dummy.PriorClassifier'>,0.7,50,100,0.0009915708631152,-0.0077429476413813,-0.0014477156140225,0.0071718061016336,6.710330028091721e-05,0.0016737093935038,-0.0025732623368332,0.0034045446621894,0.0003261392612966,-0.0046948915684231,-0.0028928539881636,-0.001245721128832,0.0011232946826779,-0.0024863705940571,0.0010430901223761,-0.0002922885032225,-0.0028726562942142,-0.00642538152024,-0.0027412280701754,-0.0019031594417828,0.0005846720041262,-0.0008174335637508,-0.0021454334418161,-0.0021504083868022,0.0010072498999114,-0.0023202158316077,-0.0046051366318892,-0.0026760837516687,-0.0015964813545555,-0.002286439733498,0.0006939736509013,-0.0044670935214723,-0.0022905582999417,-0.0014361394666296,-0.0026588878875628,-0.0035531196088284,-0.0026050211568804,-0.0049723325192105,-0.0063559127321794,-0.0008016487898341,-0.0051884677164469,-0.0082731816911158,-0.0055420456296222,-0.0046286918475847,-0.0048029269205366,-0.0052181329504361,-0.0061683715200507,-0.0058942169055778,-0.0017179856281636,-0.0019038100129862,-0.0092080378885063,-0.0084227341816955,0.0,0.0,0.0,0.0,0.0,-0.3877715205148834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511054729974628,0.0138067061143984,-0.0601387818041633,-0.0947452229299363,0.0,-0.0200296735905045,-0.1410788381742738,0.0,0.0,0.0,-0.054447852760736,-0.2055335968379446,-0.0199918400652795,0.0,0.0,0.0,0.0,0.0,-0.1407579273008508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1065573770491803,-0.0591526778577139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.9_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",19-Jul-23 18:18:43,ssl,0.9,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.008994332979696,0.0,0.0,0.0,0.0,0.0280187128587685,-0.0526802218114603,-0.031294964028777,0.0571116950076841,0.0144799054373521,-0.02717808686748,0.0,0.0153022953443016,-0.0530131400090621,0.0194367314557714,0.0467819122961227,0.0,0.031603929461952,0.0,-0.0270836450695793,-0.0553239456780405,0.0769230769230769,0.0624160071673884,-0.0057616132517104,0.0,-0.0226875906966556,0.0,0.0,0.0,0.0564988730277987,-0.0473001765386253,0.0,-0.0499475550671794,0.0,0.0380860841618358,-0.0443548387096773,0.0337298599608493,-0.0242641209228321,-0.0714528365983468,0.002906976744186,-0.065519559569017,-0.0242641209228321,0.066450088600118,0.0555992141453832,-0.0751798561151078,-0.0113031914893616,-0.0177611591493339,0.0,0.0,0.0,0.0,-0.0121025147013543,-0.109951641639094,-0.0660980810234542,-0.014760147601476,-0.1245314452311537,-0.0199745006374842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.4_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",19-Jul-23 18:19:29,ssl,0.4,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.0046752484969259,-0.0093057331291061,-0.0130247187846536,-0.0040443323274601,-0.0051635710088192,-0.0004990993852565,-0.0154920381254444,-0.0088320388970656,-0.0100491773807692,-0.0104128503825391,-0.0058423482042104,-0.0078816311203051,-0.0169656396564415,-0.0060698497493219,-0.0084261884115322,-0.0084011123792085,-0.0082637899450437,-0.011328682774819,-0.010966936547372,-0.010222160233488,-0.0082618128505879,-0.005771723348718,-0.0183470847292508,-0.0090793710835023,-0.009683533881247,-0.0066706880464583,-0.0270413918584525,-0.0072943320881339,-0.0041677112246548,-0.0211705266849865,-0.0061212425659915,-0.0098129275172101,-0.0032277179299225,-0.0058429338778109,-0.0203156090908153,-0.0075129832180495,-0.0138607087733914,-0.0063423108495938,-0.0089101715943039,-0.0131524138083106,0.0028953240460779,-0.0100022700476383,-0.0116680095813472,0.0012762589131278,-0.0090024892071857,-0.0133029384523077,-0.0070889785363096,-0.0176731752891173,-0.0046648411168105,-0.0156422604555785,-0.0232870856091378,-0.0195390928037794,-0.2204164550533266,-0.0826771653543306,-0.1925042589437819,-0.046337817638266,-0.0812003530450133,0.0,0.0,0.0,-0.1451863354037267,-0.0953608247422682,0.0,0.0,0.0,0.0,-0.0518934081346422,-0.0400313971742542,-0.0873942811115587,-0.0294117647058823,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10019646365422395, 0.0, -0.16947852760736204, -0.25050423557886237, -0.12704918032786885, -0.10628210193599372, -0.21999999999999997, -0.0007849293563578412, 0.02685869988322311, -0.07999999999999996, -0.08182533438237614, -0.07287449392712557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.9_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",26-Jul-23 15:18:56,ssl,0.9,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0206095154571366,-0.0216942148760329,-0.0216942148760329,-0.0216942148760329,-0.0136691072272082,-0.0136691072272082,-0.0136691072272082,-0.0136691072272082,-0.0150620200826933,-0.0150620200826933,-0.0150620200826933,-0.0123881478980246,-0.0123881478980246,-0.0123881478980246,-0.0123881478980246,-0.0123881478980246,-0.0293161397108497,-0.0293161397108497,-0.0293161397108497,-0.0293161397108497,-0.0293161397108497,-0.0294204587682847,-0.0294204587682847,-0.0294204587682847,-0.0294204587682847,-0.0264727248154342,-0.0264727248154342,-0.0264727248154342,-0.0264727248154342,-0.0213162251655628,-0.0213162251655628,-0.0221265095853389,-0.0221265095853389,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.023282036555289,-0.025732560497499,-0.2941176470588235,-0.0999999999999999,-0.0544074230282582,-0.103081019399011,0.0,0.0,0.0,-0.1029411764705881,0.0,0.0,0.0,-0.0402684563758389,0.0016299918500407,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.4_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",26-Jul-23 17:22:41,ssl,0.4,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0050108895190553,-0.0048437484912297,-0.0048437484912297,-0.0053446105735541,-0.0051769084987143,-0.0048412246217486,-0.0053387186299453,-0.005169053905178,-0.0038285768314673,-0.0044918056375489,-0.0043213043331565,-0.0026474147303757,-0.0016426399996806,-0.0013052945653246,-0.0009679513903937,-0.0022983170744361,-0.005135953752528,-0.0039657360538895,-0.0019648881966643,0.0012045164707204,3.1227926439867426e-05,-0.0059873461585249,-0.006486510139665,-0.0054887415745927,-0.0028229470200541,-0.0026588870974444,-0.0033302410789121,-0.0040052420873674,-0.00333332114698,-0.003504941607656,-0.0030015613544308,-0.0040125272273848,-0.0035099826451632,-0.0025079756729764,-0.0020118659035516,-0.0025113330370986,-0.0010165587867783,-0.0001766584953507,-0.0015168693103446,-0.0028548523028231,-0.0028548523028231,-0.0028548523028231,-0.0061951992341064,0.0,0.0,0.0,-0.0602044680045437,-0.0593220338983048,0.0,0.0,0.0,-0.1570247933884297,0.0,0.0,0.0,0.0,0.0,0.0,-0.0401188707280832,-0.238830219333875,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032735775526110754, -0.07959356477561406, 0.0, 0.0, -0.020036429872495466, 0.0, -0.23260437375745524, -0.059602649006622314, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.9_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",26-Jul-23 15:29:23,ssl,0.9,<class 'river.dummy.PriorClassifier'>,0.7,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.4_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.PriorClassifier'>""}",26-Jul-23 17:32:18,ssl,0.4,<class 'river.dummy.PriorClassifier'>,0.7,50,100,-0.01206402404077,-0.01206402404077,-0.0114142496497007,-0.0109442765764152,-0.0115098963280576,-0.0093571955082733,-0.0097226724852623,-0.0105756255238966,-0.0102470374718047,-0.0092735273115775,-0.0127037309594615,-0.0106943843110545,-0.0078398282917205,-0.0066790214556526,-0.0083873639158753,-0.0075436556695484,-0.0077040210556147,-0.0102546517337117,-0.0104309226625149,-0.009580700596542,-0.0092614428446904,-0.0102937469770453,-0.0099535020701753,-0.0053858683918743,-0.0072525108582844,-0.0086048197700189,-0.0096175993029002,-0.0106216806083576,-0.0108095490551332,-0.0102886789044358,-0.0095995113647313,-0.0089183127180555,-0.0107928883804823,-0.0133233162778908,-0.0102778189200627,-0.0099296182535395,-0.0087478330963917,-0.008745664428465,-0.0085665124390199,-0.0070473870246654,-0.0104273022293946,-0.0097424955992831,-0.0097547967469046,-0.0109430870156032,-0.0117838937361927,-0.0105651929499988,-0.0092158793444624,-0.0069947080433638,-0.0053095011725711,-0.0075010586015385,-0.0075010586015385,-0.019873825900449,-0.1442542787286062,0.0,-0.1298274445357435,-0.0320134793597303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02002266717038156, 0.0, -0.27337843215280533, -0.019965277777777995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04330708661417327, -0.05992662046473701, -0.04255319148936174, 0.0, 0.0, 0.0, 0.0, -0.03996737357259393, -0.022340022718667127, -0.04081632653061228, -0.023166023166023186, -0.07413647851727045, 0.0, -0.020000000000000018, -0.38, -0.2101653892698668, -0.1475409836065574, -0.18569131832797423, -0.3029315960912053, -0.05820105820105835, 0.0, 2.467162276944792e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07999999999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025179856115107833, -0.020000000000000018, 0.0, -0.03305785123966943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
