stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99
Airlines_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",23-Jul-23 19:12:07,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6776342349616472,0.6768268066209124,0.6766249495357287,0.6766249495357287,0.6762212353653613,0.6758175211949939,0.677028663706096,0.676423092450545,0.676423092450545,0.6754138070246266,0.6760193782801777,0.6748082357690754,0.6750100928542592,0.6762212353653613,0.6768268066209124,0.6776342349616472,0.6778360920468308,0.6784416633023819,0.6778360920468308,0.6786435203875656,0.6786435203875656,0.6786435203875656,0.7415730337078652,0.78,0.8,0.81, 0.75, 0.77, 0.78, 0.84, 0.75, 0.82, 0.71, 0.73, 0.72, 0.69, 0.7, 0.71, 0.74, 0.71, 0.77, 0.73, 0.67, 0.65, 0.7, 0.73, 0.64, 0.66, 0.71, 0.7, 0.64, 0.61, 0.66, 0.65, 0.73, 0.69, 0.67, 0.58, 0.69, 0.57, 0.61, 0.59, 0.58, 0.6, 0.59, 0.61, 0.56, 0.53, 0.54, 0.63, 0.52, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",23-Jul-23 19:30:01,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6796714579055442,0.6796714579055442,0.6796714579055442,0.6796714579055442,0.6776180698151951,0.6776180698151951,0.6776180698151951,0.6796714579055442,0.6796714579055442,0.6796714579055442,0.6796714579055442,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6817248459958932,0.6878850102669405,0.797752808988764,0.69,0.7,0.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.1_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",23-Jul-23 19:40:34,ssl,0.1,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6768265351860152,0.6766024204392649,0.6763783056925146,0.6761541909457642,0.6754818467055133,0.6752577319587629,0.6759300761990139,0.6752577319587629,0.6752577319587629,0.6752577319587629,0.6748095024652622,0.6745853877185118,0.6754818467055133,0.6759300761990139,0.6763783056925146,0.6754818467055133,0.6752577319587629,0.6736889287315105,0.6734648139847602,0.6734648139847602,0.6739130434782609,0.6739130434782609,0.7865168539325843,0.81,0.8,0.77, 0.75, 0.78, 0.85, 0.75, 0.79, 0.72, 0.74, 0.76, 0.65, 0.74, 0.72, 0.71, 0.76, 0.76, 0.67, 0.65, 0.66, 0.75, 0.68, 0.74, 0.68, 0.69, 0.59, 0.61, 0.71, 0.72, 0.65, 0.6, 0.57, 0.66, 0.49, 0.58, 0.6, 0.53, 0.56, 0.58, 0.65, 0.47, 0.56, 0.52, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",23-Jul-23 19:55:05,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6729019211324571,0.673407482305359,0.6729019211324571,0.673407482305359,0.6739130434782609,0.6736602628918099,0.6746713852376137,0.6744186046511628,0.6746713852376137,0.6749241658240647,0.6751769464105156,0.6746713852376137,0.6749241658240647,0.6751769464105156,0.6754297269969667,0.6751769464105156,0.6749241658240647,0.6746713852376137,0.6744186046511628,0.6741658240647118,0.6744186046511628,0.6739130434782609,0.7528089887640449,0.8,0.79,0.76, 0.78, 0.86, 0.79, 0.81, 0.7, 0.73, 0.71, 0.69, 0.8, 0.73, 0.78, 0.71, 0.59, 0.74, 0.73, 0.68, 0.67, 0.69, 0.7, 0.59, 0.62, 0.67, 0.7, 0.65, 0.56, 0.67, 0.49, 0.65, 0.55, 0.58, 0.61, 0.53, 0.53, 0.5, 0.5, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",23-Jul-23 20:02:22,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6613987895090787,0.6613987895090787,0.6597175521183591,0.660390047074647,0.6610625420309347,0.6617350369872226,0.6607262945527909,0.6607262945527909,0.6610625420309347,0.6617350369872226,0.6627437794216543,0.6634162743779422,0.6634162743779422,0.6637525218560861,0.6644250168123739,0.66408876933423,0.66408876933423,0.6644250168123739,0.6644250168123739,0.6650975117686617,0.6647612642905179,0.6650975117686617,0.7752808988764045,0.77,0.81,0.76, 0.87, 0.76, 0.8, 0.73, 0.67, 0.73, 0.71, 0.75, 0.62, 0.68, 0.63, 0.67, 0.74, 0.57, 0.6, 0.73, 0.63, 0.56, 0.55, 0.59, 0.57, 0.56, 0.56, 0.47, 0.6, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",30-Jul-23 02:29:20,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6474358974358975,0.6474358974358975,0.6495726495726496,0.6517094017094017,0.6517094017094017,0.655982905982906,0.655982905982906,0.655982905982906,0.655982905982906,0.6602564102564102,0.6623931623931624,0.6623931623931624,0.6623931623931624,0.6623931623931624,0.6623931623931624,0.6623931623931624,0.6602564102564102,0.797752808988764,0.71,0.62,0.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",30-Jul-23 02:49:06,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6744831064044378,0.6744831064044378,0.6747352496217852,0.6742309631870903,0.6742309631870903,0.6737266767523954,0.6734745335350479,0.6747352496217852,0.6739788199697428,0.6752395360564801,0.675743822491175,0.6759959657085225,0.675743822491175,0.675743822491175,0.6747352496217852,0.6737266767523954,0.6739788199697428,0.6739788199697428,0.6742309631870903,0.6752395360564801,0.6747352496217852,0.6744831064044378,0.797752808988764,0.8,0.8,0.8, 0.74, 0.88, 0.78, 0.77, 0.69, 0.76, 0.72, 0.68, 0.76, 0.74, 0.69, 0.69, 0.65, 0.71, 0.69, 0.7, 0.7, 0.72, 0.66, 0.65, 0.61, 0.69, 0.7, 0.61, 0.57, 0.7, 0.54, 0.58, 0.55, 0.6, 0.54, 0.56, 0.56, 0.54, 0.52, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",30-Jul-23 02:55:25,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6774628879892037,0.6774628879892037,0.6778002699055331,0.6767881241565452,0.676450742240216,0.676450742240216,0.676450742240216,0.6767881241565452,0.6761133603238867,0.6761133603238867,0.6757759784075573,0.6761133603238867,0.676450742240216,0.6771255060728745,0.6774628879892037,0.6774628879892037,0.6778002699055331,0.6781376518218624,0.6774628879892037,0.6778002699055331,0.6774628879892037,0.6781376518218624,0.8764044943820225,0.81,0.8,0.76, 0.82, 0.77, 0.75, 0.8, 0.69, 0.74, 0.75, 0.71, 0.67, 0.7, 0.68, 0.68, 0.73, 0.51, 0.6, 0.72, 0.73, 0.58, 0.57, 0.63, 0.55, 0.53, 0.57, 0.57, 0.55, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlines_0_20000_ssl_0.9_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",02-Aug-23 21:03:40,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.5604751619870411,0.5604751619870411,0.5604751619870411,0.5604751619870411,0.5604751619870411,0.5604751619870411,0.5604751619870411,0.5593952483801296,0.5604751619870411,0.5604751619870411,0.5615550755939525,0.5615550755939525,0.5615550755939525,0.5615550755939525,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.5637149028077754,0.7528089887640449,0.8,0.64,0.56,0.49,0.47,0.49,0.45,0.48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Airlines_0_20000_ssl_0.1_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",02-Aug-23 22:28:55,ssl,0.1,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6198732910970324,0.6190952539735467,0.6184283650105591,0.6183172168500611,0.618539513171057,0.6180949205290652,0.6182060686895632,0.6178726242080693,0.6175391797265756,0.6175391797265756,0.618539513171057,0.6188729576525509,0.6198732910970324,0.6198732910970324,0.6194286984550406,0.618650661331555,0.6179837723685673,0.6173168834055797,0.6168722907635878,0.6176503278870734,0.6175391797265756,0.6178726242080693,0.7752808988764045,0.8,0.79,0.81,0.73,0.82,0.83,0.76,0.8, 0.73, 0.78, 0.7, 0.67, 0.75, 0.72, 0.74, 0.75, 0.71, 0.64, 0.71, 0.72, 0.72, 0.61, 0.7, 0.74, 0.6, 0.58, 0.61, 0.65, 0.68, 0.72, 0.58, 0.62, 0.56, 0.57, 0.57, 0.55, 0.53, 0.56, 0.61, 0.49, 0.49, 0.6, 0.53, 0.55, 0.55, 0.59, 0.55, 0.56, 0.55, 0.61, 0.44, 0.6, 0.54, 0.55, 0.4, 0.58, 0.62, 0.55, 0.54, 0.51, 0.54, 0.67, 0.57, 0.66, 0.51, 0.62, 0.54, 0.47, 0.58, 0.5, 0.58, 0.52, 0.5, 0.62, 0.58, 0.62, 0.62, 0.62, 0.63, 0.6, 0.53, 0.52, 0.62, 0.57, 0.56, 0.61, 0.51, 0.66, 0.61, , , , , , , , , , 
