stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:34:49,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8328298086606244,0.7886723507917174,0.7901334411645774,0.7932847896440129,0.7924413904607922,0.7943792964011323,0.7932011331444759,0.7951051779935275,0.7960792239288601,0.7954269526507487,0.7951150585385547,0.7943679092382496,0.7948666127728375,0.7962363415621206,0.7972098665588354,0.801535974130962,0.8036003236245954,0.8043302306758398,0.8069146785281035,0.8122977346278317,0.8194557270511779,0.850956696878147,0.9550561797752808,0.81,0.58,0.82,0.81,0.86,0.83,0.94,0.77,0.98,0.83,0.82,0.79,0.95,0.98,0.95,0.91,0.7,0.78,0.88,0.85,0.73,0.61,0.93,0.74,0.96,0.95,0.78,0.9,0.97,0.84,0.72,0.88,0.96,0.88,0.96,0.86,0.83,0.91, 0.96, 0.96, 0.96, 0.81, 0.74, 0.92, 0.64, 0.83, 0.93, 0.88, 
Electricity_0_10000_ssl_0.1_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:39:13,ssl,0.1,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8051054384017758,0.8067189249720045,0.8049487293802943,0.8081641757751505,0.8094919786096256,0.8093645484949833,0.8112449799196787,0.8094600624721107,0.8099799509913121,0.8073660714285714,0.8084538375973304,0.8092046470062556,0.8114132857779759,0.8124024091010484,0.812221231043711,0.8171084874136779,0.8177153056671129,0.820615796519411,0.8236343366778149,0.8322925958965209,0.8410244577757268,0.8574916759156492,0.9662921348314608,0.8,0.74,0.82,0.76,0.74,0.88,0.87,0.94,0.85,0.8,0.94,0.95,0.98,0.96,0.91,0.66,0.91,0.85,0.72,0.48,0.8,0.79,0.94,0.93,0.83,0.94,0.93,0.72,0.93,0.91,0.94,0.92,0.88,0.83,0.94,0.94,0.89,0.83, 0.77, 0.98, 0.71, 0.95, 0.97, 0.8, , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:42:56,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.7977867203219315,0.817846909537454,0.8001010866818297,0.8012139605462822,0.7997474747474748,0.7992913186535054,0.7995904786281034,0.8022613726005785,0.8024753725688305,0.8014184397163121,0.8008068582955119,0.8005129666571673,0.8029307731177362,0.8027348695872373,0.8060446780551905,0.8077311773623042,0.8106448311156602,0.8146835443037974,0.8182507583417593,0.8257901390644753,0.8392999204455052,0.8397887323943662,0.9550561797752808,0.56,0.73,0.71,0.84,0.88,0.94,0.75,0.83,0.91,0.88,0.92,0.89,0.86,0.62,0.88,0.69,0.64,0.76,0.81,0.88,0.92,0.89,0.97,0.8,0.89,0.96,0.89,0.93,0.87,0.82,0.93,0.85,0.77,0.8,0.97,0.81,0.93,0.93, , , , , , , , , , , 
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:23:25,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8328298086606244,0.7886723507917174,0.7901334411645774,0.7932847896440129,0.7924413904607922,0.7943792964011323,0.7932011331444759,0.7951051779935275,0.7960792239288601,0.7954269526507487,0.7951150585385547,0.7943679092382496,0.7948666127728375,0.7962363415621206,0.7972098665588354,0.801535974130962,0.8036003236245954,0.8043302306758398,0.8069146785281035,0.8122977346278317,0.8194557270511779,0.850956696878147,0.9550561797752808,0.81,0.58,0.82, 0.81, 0.86, 0.83, 0.94, 0.77, 0.98, 0.83, 0.82, 0.79, 0.95, 0.98, 0.95, 0.91, 0.7, 0.78, 0.88, 0.85, 0.73, 0.61, 0.93, 0.74, 0.96, 0.95, 0.78, 0.9, 0.97, 0.84, 0.72, 0.88, 0.96, 0.88, 0.96, 0.86, 0.83, 0.91, 0.96, 0.96, 0.96, 0.81, 0.74, 0.92, 0.64, 0.83, 0.93, 0.88, 
Electricity_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:28:45,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.4225053078556263,0.0,0.0,0.0,0.4042553191489361,0.4154929577464789,0.0,0.4463276836158192,0.4047619047619047,0.0,0.3933054393305439,0.0,0.4047619047619047,0.0,0.4463276836158192,0.4154929577464789,0.4047619047619047,0.4,0.0,0.0,0.0,0.4182590233545648,0.5280898876404494,0.32,0.38,0.41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:50:10,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8099698895951823,0.6666666666666666,0.8107106769956214,0.8162781509284868,0.8204584040747029,0.8150341685649203,0.8083291520321124,0.8261964735516373,0.816580310880829,0.8202368137782562,0.8183344526527871,0.816579634464752,0.8223156285823462,0.8235018726591761,0.8357609241587142,0.8257403189066059,0.8179453836150845,0.8384470882905448,0.8277493102089082,0.8309146135673304,0.0,0.8430913348946136,0.9662921348314608,0.6,0.79,0.83, 0.92, 0.86, 0.84, 0.82, 0.85, 0.86, 0.8, 0.91, 0.76, 0.52, 0.77, 0.95, 0.89, 0.98, 0.83, 0.93, 0.93, 0.92, 0.86, 0.93, 0.82, 0.81, 0.85, 0.79, 0.94, 0.78, , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:33:35,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6211538461538462,0.0,0.0,0.0,0.6818181818181818,0.5911949685534591,0.0,0.6395939086294417,0.684931506849315,0.0,0.58203125,0.0,0.684931506849315,0.0,0.6395939086294417,0.5974842767295597,0.684931506849315,0.6666666666666666,0.0,0.0,0.0,0.6192307692307693,0.4831460674157303,0.73,0.52,0.68,0.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:47:49,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8070975918884664,0.8142670726402784,0.8089658685685176,0.8100943155748151,0.8110997963340122,0.8103756708407871,0.8109362909466082,0.8132337246531484,0.8057535641547862,0.8056265984654731,0.806049822064057,0.805688622754491,0.8093177189409368,0.8115089514066496,0.8173820314582778,0.8139002036659878,0.8153211245808615,0.8184143222506394,0.8224656138563423,0.8281927096609737,0.8311575282854656,0.8433460076045627,0.9550561797752808,0.69,0.86,0.76,0.79, 0.88, 0.84, 0.95, 0.73, 0.85, 0.83, 0.95, 0.88, 0.86, 0.75, 0.94, 0.74, 0.58, 0.65, 0.82, 0.92, 0.87, 0.88, 0.97, 0.84, 0.84, 0.95, 0.9, 0.98, 0.85, 0.79, 0.93, 0.83, 0.77, 0.77, 0.97, 0.75, 0.92, 0.92, , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:52:58,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.796383121232418,0.8181818181818182,0.7929871881321645,0.8069683620344413,0.7896709704289879,0.8020372010628876,0.8057553956834532,0.7949769349051768,0.8031802120141343,0.8042488619119879,0.7992602555480834,0.7917808219178082,0.8033282904689864,0.801202034211743,0.7941777323799796,0.804542069992554,0.8163452708907254,0.7906574394463668,0.8174920127795527,0.8131125380196013,0.0,0.8241795043536504,0.9550561797752808,0.64,0.51,0.7,0.9, 0.77, 0.84, 0.9, 0.93, 0.92, 0.72, 0.72, 0.75, 0.62, 0.74, 0.92, 0.75, 0.94, 0.76, 0.89, 0.91, 0.92, 0.92, 0.96, 0.93, 0.84, 0.81, 0.81, 0.95, , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",20-Jul-23 10:54:46,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.8328298086606244,0.7886723507917174,0.7901334411645774,0.7932847896440129,0.7924413904607922,0.7943792964011323,0.7932011331444759,0.7951051779935275,0.7960792239288601,0.7954269526507487,0.7951150585385547,0.7943679092382496,0.7948666127728375,0.7962363415621206,0.7972098665588354,0.801535974130962,0.8036003236245954,0.8043302306758398,0.8069146785281035,0.8122977346278317,0.8194557270511779,0.850956696878147,0.9550561797752808,0.81,0.58,0.82,0.81,0.86,0.83,0.94,0.77,0.98,0.83,0.82,0.79,0.95,0.98,0.95,0.91,0.7,0.78,0.88,0.85,0.73,0.61,0.93,0.74,0.96,0.95,0.78,0.9,0.97,0.84,0.72,0.88,0.96,0.88,0.96,0.86,0.83,0.91,0.96,0.96,0.96,0.81,0.74,0.92,0.64,0.83,0.93,0.88, 
