stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:34:21,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6500067519536078,0.5609551241448714,0.5636996469109723,0.5703610510371245,0.5686044730834311,0.5720708557439491,0.5695504978691968,0.5732495148192306,0.5753933316641174,0.574278648008312,0.5726463982550634,0.5719047335850275,0.5734784156580749,0.5758287016162783,0.5776547280632525,0.5857844888185914,0.5903319995821928,0.5917524480344223,0.5967277732537459,0.6077827398253329,0.6222058357990642,0.6866733719355332,0.9012208657047724,0.5226130653266332,0.2394060123143788,0.5794392523364484,0.6227164416203337,0.6902654867256637,0.6658805031446541,0.8754669987546699,0.5507812499999999,0.9596122778675282,0.0116279069767435,0.3967828418230559,0.4160177975528364,0.8193641618497108,0.9216300940438872,0.8821866163996229,0.8200000000000001,0.4131455399061032,0.5723172628304821,0.724770642201835,0.6958637469586374,0.1697416974169745,0.3215031315240083,0.8605577689243029,0.5081346954218692,0.9188311688311688,0.900079936051159,0.56,0.8,0.7540983606557374,0.6659707724425886,0.3482309124767224,0.7611464968152866,0.914199914199914,0.7491638795986622,0.7286295793758477,0.3665158371040726,0.2201834862385318,0.8148148148148149, 0.9152542372881355, 0.9143468950749464, 0.883720930232558, 0.07766990291262145, 0.397869383974062, 0.836867862969005, 0.3074259330511736, 0.608294930875576, 0.8600000000000001, 0.4858611825192801, 
Electricity_0_10000_ssl_0.1_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:39:15,ssl,0.1,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.5935361029873829,0.5886960089450386,0.5922933503655353,0.5977345134539157,0.5996743981274724,0.6029793453433496,0.6012678618987972,0.6050206349632793,0.6013288574481133,0.6038533980662593,0.6079732624037302,0.6044048078871991,0.6103983321309763,0.6143633879732227,0.6195325195216339,0.6250338048734037,0.6303330197905173,0.6338729922403018,0.639442422744034,0.650343268653518,0.6661836437801296,0.6972332991045522,0.9273864563502856,0.6306934755847353,0.7196635963155786,0.482615894039735,0.5539177657098526,0.5424292845257904,0.7150259067357514,0.6428571428571428,0.8592115848753018,0.5624999999999998,0.3119266055045872,0.5833333333333333,0.5973154362416108,0.8006833712984056,0.8985389610389609,0.4904458598726114,0.3795620437956205,0.6985530546623794,0.5015739769150054,0.1599999999999999,0.7116968698517299,0.4639175257731958,0.8346424142207525,0.8998397435897435,0.7011952191235059,0.7430830039525692,0.896265560165975,0.4607087827426809,0.6666666666666666,0.8999999999999999,0.7679814385150813,0.9305555555555556,0.0,0.3589743589743595,0.9594320486815416,1.0,0.8924268502581755,0.5356935577481139,0.2329817833173532, 0.7745901639344263, 0.5535714285714287, 0.36090225563909784, 0.9382716049382716, 0.9006622516556291, , , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",12-Jul-23 21:42:51,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.5804221110125115,0.5586087781155491,0.5904136948629698,0.595051550309624,0.5993193093146973,0.6034279317439186,0.6012155920474033,0.606346796927607,0.6059690336931586,0.6028201265035864,0.6023084787613538,0.5983616335642487,0.598566685510398,0.5952897362646811,0.6003990988621187,0.5992775111255703,0.6010569086444094,0.6050358973610939,0.6213300471191594,0.630919668002637,0.5761784150425003,0.6743591558862754,0.9320437770425044,0.3491577335375191,0.6334012219959265,0.4881889763779527,0.5084269662921349,0.7756729810568296,0.8200000000000001,0.7385358004827031,0.406779661016949,0.520460358056266,0.6899661781285232,1.0,0.8390342052313884,0.570135746606335,0.228964130070399,0.5031055900621116,0.393063583815029,0.3321299638989169,0.74,0.4569288389513107,0.9799518845228548,0.6399999999999999,0.6933769419460343,0.9279538904899136,0.4955156950672645,0.7980613893376414,0.7844827586206897,0.8997594226142742,0.4075829383886255,0.2084432717678099,0.8186946011281225,0.7933884297520661,0.6991247264770242,0.4628099173553716,0.5885769603097771,0.5689655172413793,0.5604395604395604,0.8749999999999999,0.4712990936555891, , , , , , , , , , , 
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:24:43,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6500067519536078,0.5609551241448714,0.5636996469109723,0.5703610510371245,0.5686044730834311,0.5720708557439491,0.5695504978691968,0.5732495148192306,0.5753933316641174,0.574278648008312,0.5726463982550634,0.5719047335850275,0.5734784156580749,0.5758287016162783,0.5776547280632525,0.5857844888185914,0.5903319995821928,0.5917524480344223,0.5967277732537459,0.6077827398253329,0.6222058357990642,0.6866733719355332,0.9012208657047724,0.5226130653266332,0.2394060123143788,0.5794392523364484,0.6227164416203337, 0.6902654867256637, 0.6658805031446541, 0.8754669987546699, 0.5507812499999999, 0.9596122778675282, 0.011627906976743556, 0.3967828418230559, 0.41601779755283647, 0.8193641618497108, 0.9216300940438871, 0.8821866163996229, 0.8200000000000001, 0.4131455399061032, 0.5723172628304821, 0.724770642201835, 0.6958637469586374, 0.1697416974169745, 0.3215031315240083, 0.8605577689243029, 0.5081346954218692, 0.9188311688311688, 0.900079936051159, 0.56, 0.8, 0.7540983606557374, 0.6659707724425886, 0.34823091247672244, 0.7611464968152866, 0.9141999141999141, 0.7491638795986622, 0.7286295793758477, 0.3665158371040726, 0.22018348623853182, 0.8148148148148149, 0.9152542372881355, 0.9143468950749464, 0.883720930232558, 0.07766990291262145, 0.397869383974062, 0.836867862969005, 0.3074259330511736, 0.608294930875576, 0.8600000000000001, 0.4858611825192801, 
Electricity_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:37:57,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.2963572453560473,0.0,0.0,0.2,0.3316221765913758,0.3164066023270497,0.2,0.2222222222222223,0.335281227173119,0.2,0.3190580078300111,0.0,0.3272727272727272,0.0,0.2515723270440252,0.3239652529381707,0.335281227173119,0.2857142857142858,0.2,0.0,0.0,0.3121463920503026,0.1394667447992966,0.031413612565445,0.2435424354243541,0.5283018867924528,0.6418623159570234, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",17-Jul-23 22:48:46,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.606616325062927,0.6040507155002255,0.601485105937524,0.6237406731117169,0.5943875081845874,0.5996389420822834,0.6361367745083903,0.5871098352042243,0.6084526102991549,0.6188297238030077,0.6044463713282302,0.5968384611759262,0.6221891534391535,0.611721035910781,0.5997139651882512,0.630324654288047,0.6343754674644726,0.6179519268578653,0.664933364549672,0.6456522149562336,0.6546681029345589,0.6636839909128843,0.7336658354114712,0.3889131383675251,0.3600000000000001,0.6336206896551724,0.8155737704918034, 0.8983739837398373, 0.4407894736842103, 0.40550688360450576, 0.6268656716417911, 0.7657580919931857, 0.5476003147128247, 0.7634069400630916, 0.4982547993019198, 0.22795611540024374, 0.4995996797437951, 0.7556008146639511, 0.7372675828617623, 0.8542982030111703, 0.6632329635499207, 0.7815726767275615, 0.8539232053422372, 0.7752808988764046, 0.3521341463414632, 0.8, 0.5409836065573771, 0.2222222222222224, 0.72, 0.5936532507739939, 0.9110320284697508, , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.9_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:34:47,ssl,0.9,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.2316048183997329,0.0,0.0,0.0,0.2310984308131239,0.1384988732882648,0.0,0.2183306367183781,0.2857142857142856,0.0,0.2241997609244256,0.0,0.2704507512520868,0.0,0.2183306367183781,0.1457586618876943,0.32,0.0,0.0,0.0,0.0,0.2412889007105673,0.0,0.0372062663185378,0.1881397811507237,0.4758517409210033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:49:32,ssl,0.2,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.5893959734859536,0.5964851645224133,0.5861692291270723,0.586311576610348,0.588765674166681,0.5931123019190039,0.5899628176177472,0.5909672537646482,0.590196961493057,0.592908345964694,0.5913782794395247,0.6084239539452465,0.5902949825748981,0.5930092786429139,0.5915233953385448,0.591514341436821,0.5962015270285755,0.6015792608233679,0.6082995735985867,0.6234860529098879,0.5747993170211616,0.6567467153967669,0.9543823680164016,0.1604477611940298,0.5128604832424006,0.6175095622609433, 0.39903846153846145, 0.744186046511628, 0.7397918334667735, 0.8200000000000001, 0.22018348623853182, 0.421965317919075, 0.6428571428571428, 0.5674740484429068, 0.7647562018819504, 0.7515808491418248, 0.43009118541033425, 0.7287145242070118, 0.465478841870824, 0.12935323383084557, 0.21228830248129185, 0.7683235046335299, 0.6355060034305317, 0.7683235046335299, 0.7, 0.6511627906976745, 0.5762711864406781, 0.5552434456928841, 0.8999999999999999, 0.7813411078717202, -0.017811704834606486, 0.4075829383886255, 0.5535714285714287, 0.8946925021061498, 0.7689463955637709, 0.41601779755283647, 0.1876523151909018, 1.0, 0.5214395099540582, 0.8302927450148495, 0.8066298342541438, , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",19-Jul-23 18:59:03,ssl,0.4,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.5864391672162387,0.5887246658423374,0.5910101644684361,0.5948921527889861,0.6031885900591015,0.6046870316130792,0.5904195024917571,0.5938393947180813,0.5964419252994554,0.6303655264038192,0.604617894991497,0.6017980513265728,0.6115392296921365,0.6234141641239762,0.6129763278582661,0.6209772410338339,0.6110333486683045,0.6542799075922677,0.6238304442513187,0.6272041619518617,0.6373332932716904,0.6474624245915193,0.9325587269512504,0.1261137765592871,0.2971124620060791,0.5476003147128246, 0.8096446700507615, 0.6215139442231077, 0.5699541284403669, 0.6268656716417912, 0.96684350132626, 0.8841519925857274, 0.4455445544554455, 0.2820324005891016, 0.5542949756888169, 0.17218543046357604, 0.6799999999999999, 0.7593261131167268, 0.7205588822355289, 0.7619047619047619, 0.724950884086444, 0.6799999999999999, 0.7784045124899275, 0.8728813559322033, 0.24698795180722938, 0.732977303070761, 0.8514431239388796, 0.3898718730933497, 0.5511221945137156, 0.8178137651821863, 0.7084548104956268, 0.8484848484848484, , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",20-Jul-23 10:54:51,init,,<class 'river.forest.adaptive_random_forest.ARFClassifier'>,0.7,20,100,0.6500067519536078,0.5609551241448714,0.5636996469109723,0.5703610510371245,0.5686044730834311,0.5720708557439491,0.5695504978691968,0.5732495148192306,0.5753933316641174,0.574278648008312,0.5726463982550634,0.5719047335850275,0.5734784156580749,0.5758287016162783,0.5776547280632525,0.5857844888185914,0.5903319995821928,0.5917524480344223,0.5967277732537459,0.6077827398253329,0.6222058357990642,0.6866733719355332,0.9012208657047724,0.5226130653266332,0.2394060123143788,0.5794392523364484,0.6227164416203337,0.6902654867256637,0.6658805031446541,0.8754669987546699,0.5507812499999999,0.9596122778675282,0.0116279069767435,0.3967828418230559,0.4160177975528364,0.8193641618497108,0.9216300940438872,0.8821866163996229,0.8200000000000001,0.4131455399061032,0.5723172628304821,0.724770642201835,0.6958637469586374,0.1697416974169745,0.3215031315240083,0.8605577689243029,0.5081346954218692,0.9188311688311688,0.900079936051159,0.56,0.8,0.7540983606557374,0.6659707724425886,0.3482309124767224,0.7611464968152866,0.914199914199914,0.7491638795986622,0.7286295793758477,0.3665158371040726,0.2201834862385318,0.8148148148148149,0.9152542372881356,0.9143468950749464,0.883720930232558,0.0776699029126214,0.397869383974062,0.836867862969005,0.3074259330511736,0.608294930875576,0.8600000000000001,0.4858611825192801, 
