stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
LED_abrubt_0_20000_constant_delay_lfs_0.1_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 01:55:32,lfs,0.1,CluStream,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478737005948079,0.3068181818181818,0.35,0.2,0.24,0.24,0.25,0.23,0.22,0.17,0.3,0.21,0.24,0.36,0.18,0.27,0.27,0.25,0.18,0.19,0.2,0.28,0.29,0.31,0.29,0.23,0.33,0.26,0.15,0.22,0.28,0.19,0.28,0.42,0.24,0.28,0.21,0.28,0.24,0.2,0.21,0.19,0.24,0.15,0.26,0.19,0.26,0.24,0.18,0.25,0.19,0.2,0.26,0.18,0.24,0.28,0.2,0.27,0.21,0.26,0.38,0.25,0.24,0.36,0.24,0.23,0.26,0.3,0.36,0.17,0.29,0.2,0.26,0.2,0.25,0.27,0.34,0.25,0.31,0.2,0.22,0.17,0.31,0.18,0.23,0.23,0.2,0.18,0.23,0.29,0.39,0.29,0.32,0.27,0.23,0.29,0.23,0.22,0.24,0.22,0.19,0.28,0.26,0.25,0.21,0.27,0.23,0.21,0.2,0.23,0.18,0.23,0.26,0.26,0.25,0.28,0.2,0.22,0.16,0.2,0.22,0.29,0.3,0.31,0.23,0.25,0.19,0.25,0.33,0.2,0.21,0.4,0.29,0.2,0.31,0.28,0.27,0.23,0.26,0.25,0.27,0.33,0.2,0.27,0.3,0.25,0.29,0.29,0.24,0.16,0.22,0.31,0.27,0.26,0.24,0.2,0.25,0.29,0.28,0.24,0.27, 0.25, 0.24, 0.32, 0.24, 0.25, 0.25, 0.18, 0.25, 0.21, 0.23, 0.26, 0.22, 0.25, 0.24, 0.21, 0.23, 0.19, 0.26, 0.26, 0.22, , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 02:05:41,init,,CluStream,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473484090454272,0.2613636363636363,0.32,0.21,0.27,0.23,0.21,0.2,0.24,0.18,0.22,0.25,0.26,0.25,0.22,0.29,0.19,0.24,0.22,0.27,0.14,0.21,0.25,0.32,0.27,0.19,0.26,0.22,0.24,0.33,0.25,0.19,0.26,0.33,0.24,0.26,0.32,0.23,0.23,0.25,0.18,0.25,0.34,0.23,0.23,0.27,0.21,0.21,0.21,0.24,0.23,0.27,0.27,0.25,0.35,0.2,0.19,0.23,0.15,0.17,0.26,0.29,0.32,0.27,0.2,0.29,0.24,0.38,0.24,0.2,0.25,0.25,0.3,0.26,0.3,0.27,0.27,0.19,0.25,0.24,0.29,0.2,0.28,0.22,0.38,0.29,0.24,0.21,0.34,0.22,0.23,0.21,0.24,0.3,0.3,0.3,0.21,0.25,0.26,0.27,0.3,0.21,0.2,0.3,0.22,0.27,0.36,0.22,0.2,0.26,0.26,0.18,0.24,0.21,0.3,0.24,0.24,0.22,0.15,0.24,0.23,0.15,0.28,0.27,0.24,0.23,0.24,0.28,0.22,0.31,0.24,0.2,0.3,0.27,0.21,0.27,0.29,0.24,0.22,0.19,0.26,0.25,0.38,0.23,0.23,0.27,0.25,0.2,0.22,0.22,0.28,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.23,0.34,0.3, 0.19, 0.34, 0.22, 0.17, 0.25, 0.24, 0.26, 0.26, 0.16, 0.2, 0.24, 0.31, 0.24, 0.29, 0.38, 0.2, 0.26, 0.26, 0.2, 0.21, 0.32, 0.34, 0.2, 0.26, 0.27, 0.2, 0.28, 0.21, 0.2, 0.23, 0.26, 0.36, 0.16, 0.19, 0.24, 0.16, 0.23, 0.19, 0.3, 0.16
LED_abrubt_0_20000_constant_delay_lfs_0.2_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 03:32:34,lfs,0.2,CluStream,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246016371930263,0.3181818181818182,0.33,0.22,0.19,0.29,0.23,0.23,0.22,0.22,0.22,0.2,0.32,0.29,0.29,0.22,0.22,0.22,0.17,0.3,0.23,0.2,0.25,0.26,0.3,0.25,0.32,0.19,0.28,0.24,0.32,0.25,0.24,0.25,0.22,0.21,0.21,0.27,0.23,0.21,0.27,0.27,0.28,0.27,0.26,0.2,0.22,0.2,0.23,0.2,0.16,0.27,0.26,0.23,0.33,0.34,0.22,0.21,0.14,0.32,0.28,0.23,0.24,0.36,0.26,0.24,0.27,0.25,0.3,0.35,0.29,0.25,0.17,0.3,0.24,0.24,0.29,0.32,0.2,0.24,0.34,0.26,0.28,0.33,0.21,0.29,0.28,0.19,0.25,0.24,0.25,0.22,0.22,0.22,0.15,0.22,0.21,0.19,0.26,0.18,0.15,0.18,0.3,0.23,0.29,0.25,0.3,0.24,0.22,0.28,0.25,0.14,0.25,0.26,0.28,0.32,0.23,0.26,0.24,0.23,0.29,0.24,0.21,0.3,0.27,0.28,0.26,0.23,0.33,0.29,0.24,0.25,0.23,0.28,0.18,0.17,0.28,0.16,0.19,0.19,0.32,0.25,0.26,0.25,0.31,0.32,0.27,0.21,0.23,0.26,0.18,0.19,0.24,0.17,0.24,0.26,0.28,0.15,0.21,0.2,0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000_constant_delay,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 04:12:20,delay,,CluStream,,50,100,0.1517758879439719,0.1367374158029718,0.1216989436619718,0.1112991163752585,0.118078626799557,0.1170196556452841,0.1255852842809364,0.1252120800814387,0.1315987366521281,0.1348263254113345,0.1310288450309471,0.1462311557788944,0.1423034330011074,0.1437480985701247,0.1482150926344329,0.1524955067053781,0.1546139359698681,0.1438512145748987,0.163725822870716,0.1516976082957016,0.1626766320214878,0.163855421686747,0.1626751016719385,0.1668360433604336,0.1688507305317065,0.160883810803999,0.1832358674463937,0.1695935775213246,0.1706276660572821,0.166081284495735,0.1759897232278407,0.1745892661555312,0.1756288597680373,0.1748184944593045,0.1738673517048108,0.1746389891696751,0.1818490245971162,0.1764509115236661,0.1780481061653303,0.1812918951858622,0.1825018801704687,0.1912376779846659,0.1863233665559246,0.1916847553848722,0.1925541653951785,0.1872096201147854,0.1948325358851674,0.2015539305301645,0.1841445057701956,0.2229660144181256,0.2010027670890027,0.1790395197598799,0.2613636363636363,0.32,0.21,0.17,0.13,0.19,0.14,0.26,0.19,0.16,0.15,0.16,0.15,0.19,0.24,0.19,0.22,0.18,0.1,0.14,0.18,0.14,0.16,0.23,0.22,0.19,0.27,0.11,0.18,0.21,0.12,0.21,0.24,0.08,0.28,0.2,0.18,0.16,0.19,0.14,0.16,0.17,0.11,0.18,0.16,0.17,0.12,0.23,0.17,0.17,0.27,0.17,0.15,0.23,0.19,0.12,0.22,0.14,0.24,0.18,0.2,0.11,0.22,0.09,0.19,0.21,0.14,0.23,0.22,0.16,0.14,0.14,0.17,0.16,0.25,0.15,0.22,0.26,0.12,0.2,0.29,0.11,0.13,0.27,0.17,0.19,0.28,0.18,0.13,0.22,0.18,0.19,0.22,0.16,0.14,0.15,0.17,0.2,0.24,0.21,0.17,0.27,0.11,0.15,0.23,0.24,0.14,0.12,0.16,0.2,0.21,0.17,0.1,0.19,0.12,0.17,0.22,0.15,0.16,0.17,0.14,0.14,0.22,0.14,0.17,0.14,0.11,0.13,0.25,0.15,0.15,0.22,0.13,0.22,0.17,0.2,0.11,0.2,0.13,0.19,0.18,0.11,0.21,0.3,0.13,0.12,0.14,0.2,0.22,0.23,0.14,0.13,0.22,0.12,0.18,0.22,0.09,0.14,0.27,0.2, 0.15, 0.23, 0.09, 0.16, 0.19, 0.16, 0.19, 0.22, 0.12, 0.22, 0.14, 0.11, 0.21, 0.22, 0.2, 0.14, 0.28, 0.09, 0.16, 0.22, 0.23, 0.15, 0.13, 0.13, 0.22, 0.22, 0.21, 0.12, 0.23, 0.15, 0.21, 0.22, 0.13, 0.17, 0.21, 0.15, 0.23, 0.17, 0.18, 0.15
LED_abrubt_0_20000_constant_delay_ssl_0.1_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 06:56:45,ssl,0.1,CluStream,,50,100,0.1509643710744261,0.137982185537213,0.125,0.1186763027767211,0.1210600281068058,0.1217358632350178,0.1345484333401597,0.1301014098441751,0.1364875701684041,0.1361741547012505,0.1338095892292897,0.1434357070536618,0.1474826241735887,0.144816458249294,0.1508338017612891,0.1495964125560538,0.1637563884156729,0.145623169541165,0.1645367412140575,0.1608544027898866,0.1560273582217156,0.170457992114043,0.1626666666666666,0.1637080867850098,0.1716563330380868,0.1575235922430778,0.1919431279620853,0.1709470304975923,0.1713246554364471,0.1655922643029814,0.1681429214832607,0.1762452107279693,0.168984568489236,0.1787153990862671,0.17070662553254,0.1748745586322244,0.1826175869120654,0.1772882805816937,0.1790354155543691,0.1832760595647193,0.1781254939149676,0.1810983397190293,0.1893954609359309,0.1844277000358808,0.1909013605442177,0.183728448275862,0.1959896507115135,0.1891203703703703,0.1961479979726305,0.2106238418777022,0.1929946511928669,0.1753654605080317,0.3068181818181818,0.3,0.18,0.16,0.11,0.15,0.16,0.19,0.09,0.15,0.15,0.15,0.18,0.18,0.15,0.14,0.17,0.13,0.17,0.14,0.18,0.13,0.23,0.2,0.11,0.18,0.24,0.11,0.22,0.23,0.14,0.25,0.17,0.14,0.19,0.19,0.23,0.19,0.15,0.16,0.18,0.15,0.18,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.17,0.12,0.16,0.21,0.19,0.19,0.25,0.2,0.22,0.09,0.2,0.21,0.16,0.15,0.18,0.18,0.23,0.17,0.13,0.19,0.15,0.18,0.19,0.13,0.23,0.27,0.22,0.19,0.24,0.15,0.16,0.15,0.16,0.15,0.23,0.14,0.11,0.22,0.25,0.17,0.19,0.16,0.14,0.23,0.2,0.17,0.18,0.2,0.12,0.17,0.18,0.08,0.17,0.13,0.15,0.16,0.19,0.14,0.12,0.13,0.16,0.18,0.16,0.12,0.18,0.21,0.11,0.23,0.17,0.1,0.13,0.18,0.23,0.15,0.16,0.19,0.19,0.11,0.19,0.14,0.24,0.15,0.17,0.2,0.2,0.18,0.14,0.17,0.13,0.28,0.13,0.16,0.27,0.22,0.24,0.24,0.17,0.2,0.19,0.16,0.11,0.25,0.15,0.17,0.09,0.17,0.33,0.12,0.18,0.2, 0.09, 0.16, 0.25, 0.12, 0.15, 0.16, 0.19, 0.17, 0.23, 0.25, 0.18, 0.17, 0.2, 0.15, 0.23, 0.21, 0.15, 0.18, 0.18, 0.17, , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000_constant_delay_ssl_0.2_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",25-Jun-23 07:51:57,ssl,0.2,CluStream,,50,100,0.1441424554826616,0.1282209603616516,0.1122994652406417,0.1205632716049382,0.1147967479674796,0.1207159177456207,0.1235194585448392,0.1237190702324418,0.1229847996315062,0.1329896907216494,0.1246280413092945,0.1404189294026377,0.1338472319551506,0.1308991554893194,0.1451797572704373,0.1359911406423034,0.1498666666666666,0.142635958970389,0.152937315392189,0.1420696567276372,0.1443389592123769,0.16171875,0.1541492814093648,0.1541237113402062,0.1618313689936536,0.1436846744742475,0.180379746835443,0.1654465592972181,0.1599904625655698,0.16375,0.1587758775877587,0.1756405495729669,0.1605110336817654,0.1712403951701427,0.160919540229885,0.1702974444909928,0.1661415067315955,0.1771527263755243,0.1638248847926267,0.167632972019158,0.1693881212991207,0.1865342163355408,0.1781115879828326,0.1747765640516385,0.1809965237543453,0.1719024880623272,0.1967833491012299,0.1695038029699384,0.1938886867951982,0.2166666666666666,0.1914948453608247,0.1663230240549828,0.2840909090909091,0.23,0.17,0.15,0.17,0.11,0.18,0.18,0.14,0.16,0.12,0.19,0.17,0.17,0.14,0.18,0.18,0.11,0.13,0.17,0.16,0.17,0.14,0.21,0.16,0.18,0.19,0.11,0.21,0.22,0.16,0.18,0.19,0.17,0.15,0.11,0.13,0.15,0.15,0.24,0.21,0.16,0.12,0.18,0.13,0.15,0.11,0.24,0.14,0.16,0.19,0.22,0.2,0.14,0.19,0.2,0.12,0.17,0.19,0.25,0.11,0.21,0.25,0.13,0.28,0.17,0.19,0.19,0.21,0.18,0.15,0.15,0.21,0.29,0.16,0.11,0.13,0.14,0.17,0.22,0.17,0.26,0.1,0.19,0.25,0.16,0.1,0.14,0.16,0.11,0.12,0.19,0.19,0.23,0.12,0.17,0.1,0.16,0.1,0.16,0.16,0.08,0.11,0.15,0.14,0.2,0.16,0.1,0.17,0.19,0.2,0.14,0.15,0.12,0.18,0.22,0.17,0.17,0.19,0.19,0.22,0.18,0.17,0.17,0.2,0.18,0.12,0.3,0.17,0.2,0.16,0.16,0.13,0.14,0.16,0.19,0.15,0.11,0.14,0.15,0.1,0.17,0.09,0.24,0.13,0.21,0.17,0.16,0.15,0.15,0.09,0.15,0.1,0.18,0.16,0.2,0.08,0.2,0.15,0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000_constant_delay_ssl_0.4_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",14-Jul-23 17:40:39,ssl,0.4,CluStream,,50,100,0.131884663602173,0.0,0.112386228729719,0.1206627070959674,0.1184719535783365,0.1227417640807651,0.140414798206278,0.1313191743942566,0.1378030677882236,0.1322448979591836,0.1517784963621665,0.1448019801980198,0.1639145216124332,0.1483028720626631,0.153885220924327,0.1602888086642599,0.1607087348461299,0.1519770267285178,0.157259281617869,0.1727096595626903,0.1639344262295081,0.1752300613496932,0.1614766449020592,0.1788977306218685,0.1697969543147208,0.1634491634491634,0.1862745098039215,0.1739988719684151,0.1829944547134935,0.1630434782608695,0.17138204762874,0.1685436893203883,0.1724482156226603,0.1654676258992805,0.1706970128022759,0.1624429802331475,0.1733800350262697,0.17127539503386,0.1721117424242424,0.1791084854994629,0.1674772679213364,0.1831252364737041,0.1739985254362251,0.1674890350877192,0.1717955579341717,0.1703514079590412,0.172322899505766,0.1731694281133084,0.1717227943222933,0.1744022503516174,0.0,0.1660676974508984,0.2631578947368421,0.27,0.18,0.15,0.13,0.13,0.13,0.13,0.16,0.15,0.16,0.14,0.11,0.11,0.23,0.2,0.2,0.2,0.15,0.12,0.19,0.19,0.18,0.19,0.18,0.14,0.19,0.18,0.12,0.17,0.15,0.18,0.16,0.14,0.18,0.15,0.17,0.18,0.18,0.2,0.17,0.13,0.14,0.13,0.17,0.18,0.14,0.12,0.16,0.14,0.16,0.19,0.27,0.2,0.21,0.19,0.12,0.13,0.14,0.2,0.14,0.19,0.18,0.19,0.15,0.18,0.2,0.19,0.11,0.2,0.14,0.12,0.18,0.15,0.11,0.17,0.19,0.16,0.19,0.14,0.17,0.2,0.14,0.16,0.12,0.17,0.2,0.15,0.13,0.19,0.2,0.16,0.21,0.24,0.1,0.16,0.18,0.26,0.17,0.13,0.13,0.16,0.06,0.15,0.22,0.2,0.19,0.18,0.17,0.16,0.16,0.17,0.14,0.15,0.12,0.13,0.17,0.13,0.19,0.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_gradual_0_20000_constant_delay_ssl_0.9_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",14-Jul-23 20:34:41,ssl,0.9,CluStream,,50,100,0.108080808080808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0793650793650793,0.0906666666666666,0.0,0.0,0.0963541666666666,0.0,0.1428571428571428,0.0,0.1076923076923077,0.0,0.0,0.0853333333333333,0.0,0.1428571428571428,0.0,0.0,0.0998980632008155,0.0,0.0,0.0,0.1428571428571428,0.1013333333333333,0.0,0.0,0.0,0.1076923076923077,0.0,0.1428571428571428,0.0,0.0833333333333333,0.0,0.0986666666666666,0.0,0.1005291005291005,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055555555555555,0.1022727272727272,0.09,0.1,0.11,0.07,0.1,0.09,0.12,0.13,0.11,0.14,0.09,0.09,0.18,0.08,0.08,0.12,0.12,0.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_abrupt_0_20000_constant_delay_ssl_0.9_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jul-23 20:03:31,ssl,0.9,CluStream,,50,100,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1158206012814194,0.1172991621488418,0.11828486939379,0.11828486939379,0.11828486939379,0.1197634302612124,0.1197634302612124,0.1202562838836865,0.1202562838836865,0.1192705766387383,0.1192705766387383,0.1192705766387383,0.1202562838836865,0.1202562838836865,0.1207491375061606,0.1207491375061606,0.1207491375061606,0.1197634302612124,0.1197634302612124,0.1197634302612124,0.1197634302612124,0.1197634302612124,0.1237062592410054,0.1237062592410054,0.1237062592410054,0.1237062592410054,0.126170527353376,0.126170527353376,0.1251848201084278,0.1251848201084278,0.1246919664859536,0.1246919664859536,0.1256776737309019,0.1256776737309019,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1246919664859536,0.1666666666666666,0.11,0.05,0.13,0.18,0.16,0.17,0.1,0.12,0.15,0.13,0.1,0.1,0.12,0.15,0.12,0.12,0.13,0.1,0.1, 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_abrupt_0_20000_constant_delay_ssl_0.4_0_20000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jul-23 23:30:27,ssl,0.4,CluStream,,50,100,0.1295898114455838,0.1295898114455838,0.1316572940787297,0.1302514058881905,0.1335593781012239,0.1369500496195832,0.1388521336420774,0.1403407211379424,0.1410023155805491,0.1409196162752233,0.1449718822361892,0.1473701620906384,0.151587826662256,0.1504300363876943,0.153076414158121,0.1552265960965927,0.1542342044326827,0.1559708898445253,0.1563843863711544,0.1583691696989745,0.1600231558054912,0.1601885544161429,0.164158121071783,0.1665564009262322,0.1657294078729738,0.1643235196824346,0.1647370162090638,0.165646708567648,0.1649851141250413,0.1648197155143896,0.1650678134303672,0.164654316903738,0.1654813099569963,0.1682930863380747,0.1692854780019848,0.1687065828647039,0.1705259675818723,0.1706086668871981,0.1704432682765465,0.1704432682765465,0.1706086668871981,0.173172345352299,0.1745782335428382,0.1728415481309957,0.1701951703605689,0.1724280516043665,0.1718491564670856,0.1717664571617598,0.1687892821700297,0.1693681773073106,0.1693681773073106,0.1728415481309957,0.3055555555555556,0.17,0.21,0.22,0.17,0.13,0.15,0.16,0.15,0.17,0.09,0.22,0.15,0.11,0.17,0.22,0.23,0.22,0.14,0.11, 0.2, 0.2, 0.13, 0.22, 0.16, 0.15, 0.1, 0.17, 0.21, 0.2, 0.12, 0.18, 0.17, 0.19, 0.17, 0.17, 0.17, 0.13, 0.13, 0.23, 0.18, 0.12, 0.15, 0.14, 0.2, 0.23, 0.13, 0.14, 0.19, 0.16, 0.18, 0.17, 0.16, 0.18, 0.16, 0.17, 0.14, 0.18, 0.18, 0.2, 0.21, 0.13, 0.15, 0.18, 0.2, 0.17, 0.15, 0.15, 0.15, 0.15, 0.13, 0.21, 0.15, 0.17, 0.19, 0.21, 0.23, 0.25, 0.13, 0.19, 0.18, 0.21, 0.12, 0.15, 0.15, 0.19, 0.16, 0.17, 0.18, 0.25, 0.16, 0.12, 0.19, 0.14, 0.12, 0.19, 0.18, 0.16, 0.22, 0.17, 0.15, 0.13, 0.17, 0.15, 0.14, 0.31, 0.22, 0.26, 0.22, 0.11, 0.18, 0.17, 0.18, 0.22, 0.22, 0.14, 0.14, 0.16, 0.16, 0.16, 0.19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
